applicant,application_date,application_number,document_date,document_number,inventor,title
广发证券股份有限公司,2017-06-13,CN201710441149.7,2017-09-29,CN107220369A,"郭力恒,谈加虎",基于http的网站留痕方法
广发证券股份有限公司,2017-06-13,CN201710441120.9,2017-08-18,CN107071067A,"罗意,谈加虎",一种基于Cgo的高性能证券行情接入系统和方法
广发证券股份有限公司,2017-12-26,CN201711436421.9,2018-04-13,CN107909480A,"覃剑钊,肖舒月,刘幸,王永强,谢军,李立峰,蒋荣",一种生成定期投资执行策略的方法及装置
广发证券股份有限公司,2016-12-05,CN201611102737.X,2017-04-05,CN106557363A,"区健灵,王永强,刘幸,舒靖,莫建安,谢培丰,李绪邦",一种大数据任务调度的系统以及方法
广发证券股份有限公司,2017-06-13,CN201710441150.X,2017-10-17,CN107256161A,"郭力恒,谈加虎",基于electron技术的客户端升级方法
广发证券股份有限公司,2017-08-18,CN201710713536.1,2017-11-07,CN107330641A,"顾娟,徐黄玮,杨涛,王辉,陶瑞甫,彭妍,薛琦,张展,陈春来",一种基于Storm流处理框架和规则引擎的金融衍生品实时风险控制系统及方法
广发证券股份有限公司,2017-09-12,CN201710817300.2,2018-01-09,CN107563890A,"覃剑钊,张凤娟,王永强,刘幸,杜瑞罡,张汉林,李立峰,蒋荣",一种股票类智能投顾个股集中度控制方法及系统
广发证券股份有限公司,2016-12-05,CN201611106304.1,2017-05-31,CN106775689A,"王环,王永强,刘幸,付正飞,张凤娟,陶多秀,方伟",一种大数据应用开发的系统及方法
广发证券股份有限公司,2017-11-07,CN201711085527.9,2018-02-16,CN107705207A,"郑金涛,陶多秀,梁林,方伟,王永强,李立峰,蒋荣",客户价值评估的方法、装置、设备及计算机存储介质
广发证券股份有限公司,2016-01-25,CN201620069814.5,2016-08-31,CN205540715U,"胡冠睿,林建何,梁启鸿,杨涛,王烈波,陶瑞甫,王辉,钟海,谭成鑫,蔡伟林,谢健征,林春泉",一种基于FIX的协议转换系统
山东新华制药股份有限公司,2017-05-26,CN201710386429.2,2017-07-28,CN106986834A,朱连博,5‑乙基‑5‑(1‑甲基丁基)巴比妥酸钠的制备方法
山东新华制药股份有限公司,2017-03-21,CN201710168440.1,2017-07-07,CN106928151A,"李兴泰,黄爱军,宋丽华,丰宇胜",甲氧苄啶环合工序回收品的精制方法
山东新华制药股份有限公司,2017-04-20,CN201710261534.3,2017-07-18,CN106957271A,"张富强,常森","布他比妥杂质5,5‑二甲基巴比妥酸的制备方法"
山东新华制药股份有限公司,2017-04-20,CN201710262052.X,2017-06-20,CN106866439A,"张富强,常森",氯甲西泮杂质的制备工艺
山东新华制药股份有限公司,2010-11-15,CN201010544054.6,2011-03-16,CN101984974A,"汪洋,潘西海,孙艳华,刘怀林",一种用于治疗2型糖尿病的药物组合物的制备方法
